name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Zach Collins,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1176,3,4,1,2,0,0,1,6,0,0,2,3,4,4.7,22.1.2018
George Hill,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,1142,1,2,0,1,1,1,0,0,5,1,0,1,2,4.7,22.1.2018
Shabazz Napier,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1310,3,7,1,4,0,0,0,0,1,2,0,1,1,4.6,22.1.2018
Kelly Olynyk,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,1173,4,9,0,4,2,2,0,2,1,1,0,3,0,4.6,22.1.2018
Ivan Rabb,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,928,2,3,0,0,0,0,1,2,1,0,1,0,2,4.6,22.1.2018
Jason Smith,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,822,2,4,0,0,1,3,2,0,0,1,0,0,0,4.6,22.1.2018
Trevor Ariza,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1706,1,2,1,2,0,0,1,4,0,2,0,1,1,4.5,22.1.2018
Justin Anderson,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1037,4,7,0,3,0,0,0,2,1,0,0,1,2,4.2,22.1.2018
Ersan Ilyasova,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1421,2,4,0,2,1,1,1,10,1,1,0,3,3,4.2,22.1.2018
J.J. Barea,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1263,2,7,0,2,3,3,0,4,2,0,0,1,1,4.1,22.1.2018
Gary Harris,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2223,4,14,2,7,3,4,1,1,3,0,0,3,1,4.1,22.1.2018
Luke Babbitt,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,673,2,2,1,1,0,0,0,3,0,0,0,0,4,3.7,22.1.2018
Will Barton,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2045,0,7,0,5,7,8,0,8,2,1,0,2,2,3.7,22.1.2018
Georgios Papagiannis,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,770,3,7,0,0,0,0,2,4,0,0,0,0,3,3.7,22.1.2018
Marshall Plumlee,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,500,0,0,0,0,4,6,0,2,0,0,1,0,2,3.7,22.1.2018
Shabazz Muhammad,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,517,3,5,0,0,0,0,0,1,0,0,0,0,1,3.6,22.1.2018
Derrick Walton,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,658,1,3,1,3,0,0,0,2,1,1,0,0,0,3.6,22.1.2018
Kelly Oubre,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1894,2,11,1,5,2,2,1,4,1,2,0,0,3,3.5,22.1.2018
Deyonta Davis,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,720,1,1,0,0,3,4,0,1,0,1,0,1,3,3.4,22.1.2018
Wayne Selden,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,859,2,6,0,2,3,4,0,1,1,0,0,0,2,3.4,22.1.2018
Dewayne Dedmon,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1260,3,10,1,3,0,0,3,6,1,0,1,2,3,3.3,22.1.2018
Maxi Kleber,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1032,1,4,0,2,1,2,0,4,1,0,2,0,1,3.1,22.1.2018
Otto Porter,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1346,2,8,0,4,0,0,2,4,0,2,1,1,1,3.1,22.1.2018
John Wall,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,2143,4,16,0,4,3,4,1,3,5,0,2,4,1,3.1,22.1.2018
Joe Johnson,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,979,2,4,0,1,0,0,0,1,1,0,0,0,0,3.0,22.1.2018
Bobby Portis,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,884,3,8,0,2,2,2,2,5,1,0,0,3,3,3.0,22.1.2018
Dillon Brooks,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,WIN,1740,2,7,1,3,2,2,1,3,0,2,0,2,4,2.9,22.1.2018
Sterling Brown,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1629,2,5,0,3,0,0,1,3,1,1,0,1,2,2.8,22.1.2018
Johnny O'Bryant,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,775,2,7,1,3,0,0,1,3,1,0,0,0,1,2.8,22.1.2018
Ben Simmons,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2102,3,8,0,0,0,0,1,2,7,1,0,4,5,2.8,22.1.2018
Al-Farouq Aminu,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1707,2,10,0,5,4,6,1,5,1,0,0,0,3,2.7,22.1.2018
Sam Dekker,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,678,1,3,0,1,0,0,2,1,1,0,0,0,0,2.7,22.1.2018
Markieff Morris,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1569,2,8,1,4,0,0,3,5,0,0,1,1,2,2.7,22.1.2018
Torrey Craig,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,463,1,3,1,2,0,0,1,2,0,0,0,0,0,2.6,22.1.2018
Treveon Graham,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,1275,1,3,1,2,0,0,1,1,1,1,0,1,1,2.6,22.1.2018
Tyus Jones,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,825,1,4,1,2,0,0,0,1,3,0,0,0,1,2.6,22.1.2018
Jodie Meeks,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,721,3,7,1,4,0,0,0,1,0,0,0,1,0,2.6,22.1.2018
James Johnson,MIAMI HEAT,AWAY,HOUSTON ROCKETS,LOSS,1725,5,13,0,4,0,0,1,2,4,0,0,3,4,2.4,22.1.2018
Wesley Johnson,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1800,4,9,1,2,0,0,0,1,0,0,0,1,3,2.4,22.1.2018
Tomas Satoransky,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1152,1,3,0,1,0,0,1,1,2,0,0,0,1,2.3,22.1.2018
Miles Plumlee,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,588,1,3,0,0,0,0,1,3,0,0,1,0,1,2.2,22.1.2018
Ekpe Udoh,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,398,0,0,0,0,1,2,1,2,0,0,1,0,1,2.2,22.1.2018
Ian Mahinmi,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,564,2,3,0,0,0,0,1,1,0,0,0,0,4,2.1,22.1.2018
Trevor Booker,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,774,0,1,0,1,2,2,1,1,0,0,0,0,1,1.9,22.1.2018
Rajon Rondo,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,887,2,6,1,4,0,0,0,1,2,0,0,1,1,1.9,22.1.2018
Luc Mbah a Moute,HOUSTON ROCKETS,HOME,MIAMI HEAT,WIN,1345,1,2,0,0,0,0,0,5,0,1,1,2,1,1.8,22.1.2018
