team,opp,treatment,year,rest3.,rest1,rest2,points
ORLANDO MAGIC,MIAMI HEAT,1,2008,0,1,0,122
LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,1,2004,0,1,0,105
ORLANDO MAGIC,PHILADELPHIA 76ERS,1,2004,0,1,-1,115
DENVER NUGGETS,SEATTLE SUPERSONICS,1,2007,0,0,0,168
MEMPHIS GRIZZLIES,NEW JERSEY NETS,1,2007,0,0,0,100
MEMPHIS GRIZZLIES,GOLDEN STATE WARRIORS,1,2004,0,0,0,96
TORONTO RAPTORS,INDIANA PACERS,1,2007,0,0,0,111
WASHINGTON WIZARDS,NEW YORK KNICKS,1,2007,0,-1,1,111
LOS ANGELES CLIPPERS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,0,-1,0,83
CHICAGO BULLS,LOS ANGELES LAKERS,1,2006,0,-1,1,94
BOSTON CELTICS,WASHINGTON WIZARDS,1,2004,-1,1,0,105
SEATTLE SUPERSONICS,SACRAMENTO KINGS,1,2004,0,0,0,108
ATLANTA HAWKS,LOS ANGELES LAKERS,1,2008,0,0,0,86
DALLAS MAVERICKS,PHOENIX SUNS,1,2006,0,0,0,101
CHARLOTTE BOBCATS,ATLANTA HAWKS,1,2005,0,0,0,125
DENVER NUGGETS,ATLANTA HAWKS,1,2006,1,0,0,96
TORONTO RAPTORS,DETROIT PISTONS,1,2007,1,-1,0,85
MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,1,2004,0,1,-1,113
DENVER NUGGETS,DETROIT PISTONS,1,2005,0,0,0,98
ORLANDO MAGIC,CLEVELAND CAVALIERS,1,2007,0,1,0,104
PHILADELPHIA 76ERS,INDIANA PACERS,1,2007,0,1,-1,76
INDIANA PACERS,ATLANTA HAWKS,1,2005,0,-1,0,85
SAN ANTONIO SPURS,NEW YORK KNICKS,1,2005,0,0,0,121
NEW YORK KNICKS,UTAH JAZZ,1,2008,0,0,0,107
DENVER NUGGETS,DALLAS MAVERICKS,1,2008,0,1,-1,108
MINNESOTA TIMBERWOLVES,CHICAGO BULLS,1,2005,0,-1,0,99
PORTLAND TRAIL BLAZERS,INDIANA PACERS,1,2004,0,0,1,97
CHARLOTTE BOBCATS,NEW ORLEANS HORNETS,1,2007,0,0,0,85
DETROIT PISTONS,DENVER NUGGETS,1,2004,0,1,0,87
CHICAGO BULLS,LOS ANGELES LAKERS,1,2004,1,0,0,92
MILWAUKEE BUCKS,NEW JERSEY NETS,1,2008,0,-1,1,95
PHOENIX SUNS,CLEVELAND CAVALIERS,1,2004,0,-1,0,120
LOS ANGELES CLIPPERS,CHICAGO BULLS,1,2005,0,1,-1,91
INDIANA PACERS,NEW JERSEY NETS,1,2008,0,0,1,107
SACRAMENTO KINGS,UTAH JAZZ,1,2006,0,0,0,107
SACRAMENTO KINGS,PHILADELPHIA 76ERS,1,2005,1,0,-1,98
SACRAMENTO KINGS,NEW JERSEY NETS,1,2007,0,-1,1,128
PORTLAND TRAIL BLAZERS,DENVER NUGGETS,1,2008,0,0,0,104
ATLANTA HAWKS,CLEVELAND CAVALIERS,1,2005,0,1,0,97
ATLANTA HAWKS,DALLAS MAVERICKS,1,2008,0,0,0,95
PORTLAND TRAIL BLAZERS,TORONTO RAPTORS,1,2007,0,1,0,101
ATLANTA HAWKS,PHOENIX SUNS,1,2007,0,0,0,105
DETROIT PISTONS,LOS ANGELES CLIPPERS,1,2007,0,-1,0,103
CHICAGO BULLS,DETROIT PISTONS,1,2008,0,-1,1,107
CHICAGO BULLS,WASHINGTON WIZARDS,1,2005,0,0,0,103
PHILADELPHIA 76ERS,LOS ANGELES CLIPPERS,1,2004,0,0,0,106
